Wallet Name,Unnamed: 1,Unnamed: 2,Unnamed: 3,Coldkey Address,Free Balance,Staked Balance   Total Balance
coldkey-01,,,,5GTLLrBC1ekj4tKCUaVm3zHd88ie8Y6GdiX5bKgwBgikPkWQ,1.929724407,46.437236955   48.366961362
coldkey-02,,,,5C7a1BPtuiABTAGEmiNNkHyvA58J1kf31ToVy1JHsfu8LTqz,21.981246309,16.231621115   38.212867424
coldkey-03,,,,5CJmUnvySUFYZcMYcjFh3m8WVksNYMHxBSZwFWWVvDuBUYKf,5.982966376,46.682745995   52.665712371
coldkey-04,,,,5CXEaZszNqGvWur9f15hdVvnA84ojymZBqwhe94jiN8W5Vr4,33.051742558,74.583379787  107.635122345
coldkey-05,,,,5DqZd4n7Mc5iUzGBJeQEmZBnMnd4EswX1KKva4s28oYna7Rj,14.039850294,4.715372356   18.755222650
coldkey-06,,,,5ECsNux5TeSAdJCYWgyNYYxMLD9qN9mneziNThx82PRM9W7r,6.515363967,5.000391000   11.515754967
Total Balance,Across,All,Coldkeys,,83.500893911,193.650747208  277.151641119
